Hospital_Name,Hospital_Ownership,Hospital_Type,State,City,ZIP_Code,Hospital_overall_rating,County_Name,Location,Emergency_Services,Patient_experience_national_comparison
"SELLS HOSPITAL",Tribal,"Acute Care Hospitals",AZ,SELLS,85634,"Not Available",PIMA,"HIGHWAY 86, AT TOPAWA ROAD
SELLS, AZ
",TRUE,"Not Available"
"SAN CARLOS APACHE HEALTHCARE","Government - Federal","Acute Care Hospitals",AZ,PERIDOT,85542,"Not Available",GILA,"103 MEDICINE WAY ROAD
PERIDOT, AZ
",FALSE,"Not Available"
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","Government - Federal","Acute Care Hospitals",AZ,CHINLE,86503,3,APACHE,"US HWY 191, HOSPITAL ROAD
CHINLE, AZ
",TRUE,"Same as the national average"
"HOPI HEALTH CARE CENTER",Tribal,"Critical Access Hospitals",AZ,POLACCA,86042,"Not Available",NAVAJO,"HIGHWAY 264, MILEPOST 388
POLACCA, AZ
",FALSE,"Not Available"
"HUHU KAM MEMORIAL HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",AZ,SACATON,85147,"Not Available",PINAL,"483 WEST SEED FARM ROAD
SACATON, AZ
",TRUE,"Not Available"
"SAGE MEMORIAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",AZ,GANADO,86505,"Not Available",APACHE,"STATE ROUTE 264 SOUTH 191
GANADO, AZ
",FALSE,"Not Available"
"CHI-ST VINCENT INFIRMARY","Voluntary non-profit - Private","Acute Care Hospitals",AR,"LITTLE ROCK",72205,2,PULASKI,"TWO ST VINCENT CIRCLE
LITTLE ROCK, AR
",TRUE,"Below the national average"
"SPARKS MEDICAL CENTER - VAN BUREN",Proprietary,"Acute Care Hospitals",AR,"VAN BUREN",72956,3,CRAWFORD,"EAST MAIN AND SOUTH 20TH STREET
VAN BUREN, AR
",TRUE,"Same as the national average"
"OUACHITA COUNTY MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",AR,CAMDEN,71701,4,OUACHITA,"638 CALIFORNIA AVENUE
CAMDEN, AR
",TRUE,"Above the national average"
"BAPTIST HEALTH MEDICAL CENTER-CONWAY","Voluntary non-profit - Private","Acute Care Hospitals",AR,CONWAY,72032,"Not Available",FAULKNER,"1555 EXCHANGE AVENUE
CONWAY, AR
",TRUE,"Not Available"
"CHI ST VINCENT MORRILTON","Voluntary non-profit - Church","Critical Access Hospitals",AR,MORRILTON,72110,"Not Available",CONWAY,"#4 HOSPITAL DRIVE
MORRILTON, AR
",TRUE,"Not Available"
"CHICOT MEMORIAL MEDICAL CENTER","Voluntary non-profit - Private","Critical Access Hospitals",AR,"LAKE VILLAGE",71653,3,CHICOT,"2729 SOUTH HIGHWAY 65 &amp; 82
LAKE VILLAGE, AR
",TRUE,"Above the national average"
"SAN GORGONIO MEMORIAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",CA,BANNING,92220,2,RIVERSIDE,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA
",TRUE,"Below the national average"
"WHITE MEMORIAL MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",CA,"LOS ANGELES",90033,3,"LOS ANGELES","1720 E CESAR AVENUE
LOS ANGELES, CA
",TRUE,"Below the national average"
"KAISER FOUNDATION HOSPITAL - LOS ANGELES","Voluntary non-profit - Other","Acute Care Hospitals",CA,"LOS ANGELES",90027,3,"LOS ANGELES","4867 SUNSET BLVD
LOS ANGELES, CA
",TRUE,"Below the national average"
"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","Voluntary non-profit - Private","Acute Care Hospitals",CA,MONTEREY,93940,5,MONTEREY,"23625 W R HOLMAN HIGHWAY
MONTEREY, CA
",TRUE,"Above the national average"
"HOAG MEMORIAL HOSPITAL PRESBYTERIAN","Voluntary non-profit - Private","Acute Care Hospitals",CA,"NEWPORT BEACH",92663,4,ORANGE,"ONE HOAG DRIVE
NEWPORT BEACH, CA
",TRUE,"Above the national average"
"MERCY MEDICAL CENTER REDDING","Voluntary non-profit - Private","Acute Care Hospitals",CA,REDDING,96001,3,SHASTA,"2175 ROSALINE AVE, CLAIRMONT HGTS
REDDING, CA
",TRUE,"Below the national average"
"SUTTER ROSEVILLE MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",CA,ROSEVILLE,95661,4,PLACER,"ONE MEDICAL PLAZA
ROSEVILLE, CA
",TRUE,"Same as the national average"
"EDEN MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",CA,"CASTRO VALLEY",94546,3,ALAMEDA,"20103 LAKE CHABOT ROAD
CASTRO VALLEY, CA
",TRUE,"Same as the national average"
"SONOMA DEVELOPMENTAL CENTER","Government - Federal","Acute Care Hospitals",CA,ELDRIDGE,95431,"Not Available",SONOMA,"15000 ARNOLD DRIVE / P O BOX 1493
ELDRIDGE, CA
",FALSE,"Not Available"
"MISSION HOSPITAL REGIONAL MED CENTER","Voluntary non-profit - Private","Acute Care Hospitals",CA,"MISSION VIEJO",92691,3,ORANGE,"27700 MEDICAL CENTER RD
MISSION VIEJO, CA
",TRUE,"Below the national average"
"MENIFEE VALLEY MEDICAL CENTER",Physician,"Acute Care Hospitals",CA,"SUN CITY",92585,2,RIVERSIDE,"28400 MCCALL B0ULEVARD
SUN CITY, CA
",FALSE,"Below the national average"
"LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR","Government - Local","Acute Care Hospitals",CA,DOWNEY,90242,"Not Available","LOS ANGELES","7601 EAST IMPERIAL HIGHWAY
DOWNEY, CA
",FALSE,"Same as the national average"
"FRANK R HOWARD MEMORIAL HOSPITAL","Voluntary non-profit - Church","Critical Access Hospitals",CA,WILLITS,95490,4,MENDOCINO,"1 MARCELA DR
WILLITS, CA
",TRUE,"Above the national average"
"ST HELENA HOSPITAL-CLEARLAKE","Voluntary non-profit - Church","Critical Access Hospitals",CA,CLEARLAKE,95422,2,LAKE,"15630 18TH AVE - HWY 53
CLEARLAKE, CA
",TRUE,"Below the national average"
"CHILDREN'S HOSP OF LOS ANGELES","Voluntary non-profit - Private",Childrens,CA,"LOS ANGELES",90027,"Not Available","LOS ANGELES","4650 SUNSET BLVD
LOS ANGELES, CA
",TRUE,"Not Available"
"CHILDREN'S HOSPITAL AT MISSION","Voluntary non-profit - Private",Childrens,CA,"MISSION VIEJO",92691,"Not Available",ORANGE,"27700 MEDICAL CENTER RD, 5TH FLOOR
MISSION VIEJO, CA
",TRUE,"Not Available"
"PIONEERS MEDICAL CENTER","Government - Hospital District or Authority","Critical Access Hospitals",CO,MEEKER,81641,"Not Available","RIO BLANCO","100 PIONEERS MEDICAL CENTER DRIVE
MEEKER, CO
",TRUE,"Not Available"
"PIKES PEAK REGIONAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",CO,"WOODLAND PARK",80863,"Not Available",TELLER,"16420 HIGHWAY 24
WOODLAND PARK, CO
",TRUE,"Above the national average"
"STAMFORD HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",CT,STAMFORD,6904,3,FAIRFIELD,"ONE HOSPITAL PLAZA
STAMFORD, CT
",TRUE,"Same as the national average"
"BRISTOL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",CT,BRISTOL,6010,3,HARTFORD,"BREWSTER RD
BRISTOL, CT
",TRUE,"Above the national average"
"ST FRANCIS HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",DE,WILMINGTON,19805,4,"NEW CASTLE","7TH AND CLAYTON STS
WILMINGTON, DE
",TRUE,"Below the national average"
"TWIN CITIES HOSPITAL",Proprietary,"Acute Care Hospitals",FL,NICEVILLE,32578,4,OKALOOSA,"2190 HWY 85 N
NICEVILLE, FL
",TRUE,"Above the national average"
"HEART OF FLORIDA REGIONAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",FL,DAVENPORT,33837,2,POLK,"40100 US HWY 27 N
DAVENPORT, FL
",TRUE,"Below the national average"
"CORAL GABLES HOSPITAL",Proprietary,"Acute Care Hospitals",FL,"CORAL GABLES",33134,3,MIAMI-DADE,"3100 DOUGLAS RD
CORAL GABLES, FL
",TRUE,"Below the national average"
"NORTH FLORIDA REGIONAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",FL,GAINESVILLE,32605,3,ALACHUA,"6500 NEWBERRY RD
GAINESVILLE, FL
",TRUE,"Below the national average"
"KENDALL REGIONAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",FL,MIAMI,33175,3,MIAMI-DADE,"11750 BIRD RD
MIAMI, FL
",TRUE,"Below the national average"
"CAPE CORAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",FL,"CAPE CORAL",33990,2,LEE,"636 DEL PRADO BLVD
CAPE CORAL, FL
",TRUE,"Below the national average"
"PROVIDENCE VALDEZ MEDICAL CENTER","Government - Local","Critical Access Hospitals",AK,VALDEZ,99686,"Not Available",,"PO BOX 550
VALDEZ, AK
",TRUE,"Not Available"
"PETERSBURG MEDICAL CENTER","Government - Local","Critical Access Hospitals",AK,PETERSBURG,99833,"Not Available",,"PO BOX 589
PETERSBURG, AK
",TRUE,"Not Available"
"CORDOVA COMMUNITY MEDICAL CENTER","Government - Local","Critical Access Hospitals",AK,CORDOVA,99574,"Not Available",,"PO BOX 160 - 602 CHASE AVENUE
CORDOVA, AK
",TRUE,"Not Available"
"CARTERSVILLE MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",GA,CARTERSVILLE,30120,4,BARTOW,"960 JOE FRANK HARRIS PARKWAY
CARTERSVILLE, GA
",TRUE,"Below the national average"
"JOHN D ARCHBOLD MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",GA,THOMASVILLE,31792,3,THOMAS,"915 GORDON AVENUE &amp; MIMOSA DRIVE
THOMASVILLE, GA
",TRUE,"Same as the national average"
"HABERSHAM COUNTY MEDICAL CTR","Government - Hospital District or Authority","Acute Care Hospitals",GA,DEMOREST,30535,3,HABERSHAM,"541 HISTORIC HIGHWAY 441-NORTH
DEMOREST, GA
",TRUE,"Same as the national average"
"MEADOWS REGIONAL MEDICAL CENTER",Proprietary,"Acute Care Hospitals",GA,VIDALIA,30474,3,TOOMBS,"ONE MEADOWS PARKWAY
VIDALIA, GA
",TRUE,"Above the national average"
"PUTNAM GENERAL HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",GA,EATONTON,31024,3,PUTNAM,"101 LAKE OCONEE PARKWAY
EATONTON, GA
",TRUE,"Not Available"
"LIBERTY REGIONAL MEDICAL CENTER","Government - Hospital District or Authority","Critical Access Hospitals",GA,HINESVILLE,31310,3,LIBERTY,"462 E G MILES PARKWAY
HINESVILLE, GA
",TRUE,"Same as the national average"
"CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE","Voluntary non-profit - Other",Childrens,GA,ATLANTA,30342,"Not Available",FULTON,"1001 JOHNSON FERRY ROAD
ATLANTA, GA
",TRUE,"Not Available"
"NORTH HAWAII COMMUNITY HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",HI,KAMUELA,96743,3,HAWAII,"67 1125 MAMALAHOA HIGHWAY
KAMUELA, HI
",TRUE,"Same as the national average"
"SAINT ALPHONSUS MEDICAL CENTER - NAMPA","Voluntary non-profit - Church","Acute Care Hospitals",ID,NAMPA,83686,4,CANYON,"1512 TWELFTH AVENUE ROAD
NAMPA, ID
",TRUE,"Below the national average"
"PRESENCE SAINT JOSEPH MEDICAL CENTER","Voluntary non-profit - Church","Acute Care Hospitals",IL,JOLIET,60435,2,WILL,"333 N MADISON
JOLIET, IL
",TRUE,"Same as the national average"
"ST LUKE'S WOOD RIVER MEDICAL CENTER","Voluntary non-profit - Private","Critical Access Hospitals",ID,KETCHUM,83340,"Not Available",BLAINE,"100 HOSPITAL DRIVE
KETCHUM, ID
",TRUE,"Above the national average"
"ALTON MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IL,ALTON,62002,3,MADISON,"ONE MEMORIAL DRIVE
ALTON, IL
",TRUE,"Same as the national average"
"BLESSING HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IL,QUINCY,62301,3,ADAMS,"BROADWAY AT 11TH STREET
QUINCY, IL
",TRUE,"Above the national average"
"MT SINAI HOSPITAL MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",IL,CHICAGO,60608,2,COOK,"15TH STREET AT CALIFORNIA
CHICAGO, IL
",TRUE,"Below the national average"
"OSF SAINT ANTHONY'S HEALTH CENTER","Voluntary non-profit - Church","Acute Care Hospitals",IL,ALTON,62002,3,MADISON,"ST ANTHONY'S WAY
ALTON, IL
",TRUE,"Above the national average"
"METROSOUTH MEDICAL CENTER",Proprietary,"Acute Care Hospitals",IL,"BLUE ISLAND",60406,2,COOK,"12935 S GREGORY
BLUE ISLAND, IL
",TRUE,"Below the national average"
"INGALLS MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IL,HARVEY,60426,3,COOK,"ONE INGALLS DRIVE
HARVEY, IL
",TRUE,"Below the national average"
"HARRISBURG MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",IL,HARRISBURG,62946,3,SALINE,"100 DOCTOR WARREN TUTTLE DR
HARRISBURG, IL
",TRUE,"Same as the national average"
"ALEXIAN BROTHERS MEDICAL CENTER 1","Voluntary non-profit - Church","Acute Care Hospitals",IL,"ELK GROVE VILLAGE",60007,4,COOK,"800 W BIESTERFIELD RD
ELK GROVE VILLAGE, IL
",TRUE,"Same as the national average"
"KISHWAUKEE COMMUNITY HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IL,DEKALB,60115,4,DEKALB,"ONE KISH HOSPITAL DRIVE
DEKALB, IL
",TRUE,"Same as the national average"
"MIDWEST MEDICAL CENTER","Voluntary non-profit - Private","Critical Access Hospitals",IL,GALENA,61036,"Not Available","JO DAVIESS","ONE MEDICAL CENTER DRIVE
GALENA, IL
",TRUE,"Not Available"
"COMMUNITY MEMORIAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",IL,STAUNTON,62088,"Not Available",MACOUPIN,"400 CALDWELL
STAUNTON, IL
",TRUE,"Not Available"
"HARDIN COUNTY GENERAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",IL,ROSICLARE,62982,"Not Available",HARDIN,"FERRELL ROAD
ROSICLARE, IL
",TRUE,"Not Available"
"FAYETTE COUNTY HOSPITAL","Voluntary non-profit - Other","Critical Access Hospitals",IL,VANDALIA,62471,"Not Available",FAYETTE,"7TH AND TAYLOR
VANDALIA, IL
",TRUE,"Not Available"
"SPARTA COMMUNITY HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",IL,SPARTA,62286,"Not Available",RANDOLPH,"818 E BROADWAY
SPARTA, IL
",TRUE,"Not Available"
"ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO","Voluntary non-profit - Other",Childrens,IL,CHICAGO,60611,"Not Available",COOK,"225 E CHICAGO, BOX 57
CHICAGO, IL
",TRUE,"Not Available"
"LARABIDA CHILDRENS HOSPITAL I","Voluntary non-profit - Private",Childrens,IL,CHICAGO,60649,"Not Available",COOK,"E 65TH ST AT LAKE MICHIGAN
CHICAGO, IL
",FALSE,"Not Available"
"KING'S DAUGHTERS' HEALTH","Voluntary non-profit - Private","Acute Care Hospitals",IN,MADISON,47250,4,JEFFERSON,"1373 EAST SR 62
MADISON, IN
",TRUE,"Above the national average"
"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",IN,MUNCIE,47303,3,DELAWARE,"2401 UNIVERSITY AVE
MUNCIE, IN
",TRUE,"Below the national average"
"COMMUNITY HOSPITAL SOUTH","Voluntary non-profit - Private","Acute Care Hospitals",IN,INDIANAPOLIS,46227,4,MARION,"1402 E COUNTY LINE RD S
INDIANAPOLIS, IN
",TRUE,"Same as the national average"
"OTTUMWA REGIONAL HEALTH CENTER",Proprietary,"Acute Care Hospitals",IA,OTTUMWA,52501,3,WAPELLO,"1001 E PENNSYLVANIA
OTTUMWA, IA
",TRUE,"Below the national average"
"MERCY MEDICAL CENTER-CENTERVILLE","Voluntary non-profit - Private","Critical Access Hospitals",IA,CENTERVILLE,52544,4,APPANOOSE,"ONE ST JOSEPH'S DRIVE
CENTERVILLE, IA
",TRUE,"Same as the national average"
"MORTON COUNTY HOSPITAL","Government - Local","Acute Care Hospitals",KS,ELKHART,67950,3,MORTON,"445 N HILLTOP
ELKHART, KS
",TRUE,"Not Available"
"LANE COUNTY HOSPITAL","Voluntary non-profit - Other","Critical Access Hospitals",KS,DIGHTON,67839,"Not Available",LANE,"235 WEST VINE PO BOX 969
DIGHTON, KS
",TRUE,"Not Available"
"COMANCHE COUNTY HOSPITAL","Government - Local","Critical Access Hospitals",KS,COLDWATER,67029,"Not Available",COMANCHE,"2ND &amp; FRISCO STREET
COLDWATER, KS
",TRUE,"Not Available"
"SEDAN CITY HOSPITAL","Government - Local","Critical Access Hospitals",KS,SEDAN,67361,"Not Available",CHAUTAUQUA,"300 NORTH STREET
SEDAN, KS
",TRUE,"Not Available"
"HAMILTON COUNTY HOSPITAL","Government - Local","Critical Access Hospitals",KS,SYRACUSE,67878,"Not Available",HAMILTON,"700 NORTH HUSER
SYRACUSE, KS
",TRUE,"Not Available"
"SATANTA DISTRICT HOSPITAL","Government - Hospital District or Authority","Critical Access Hospitals",KS,SATANTA,67870,"Not Available",HASKELL,"CHEYENNE &amp; APACHE
SATANTA, KS
",TRUE,"Not Available"
"SABETHA COMMUNITY HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",KS,SABETHA,66534,"Not Available",NEMAHA,"14TH &amp; OREGON
SABETHA, KS
",TRUE,"Not Available"
"WILSON MEDICAL CENTER","Voluntary non-profit - Other","Critical Access Hospitals",KS,NEODESHA,66757,"Not Available",WILSON,"REECE CAMPUS 2600 OTTAWA ROAD
NEODESHA, KS
",TRUE,"Not Available"
"ST LUKE HOSPITAL & LIVING CENTER","Government - Hospital District or Authority","Critical Access Hospitals",KS,MARION,66861,"Not Available",MARION,"535 SOUTH FREEBRON
MARION, KS
",TRUE,"Not Available"
"ALLEN COUNTY REGIONAL HOSPITAL","Government - State","Critical Access Hospitals",KS,IOLA,66749,2,ALLEN,"3066 NORTH KENTUCKY STREET
IOLA, KS
",TRUE,"Same as the national average"
"ATCHISON HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",KS,ATCHISON,66002,3,ATCHISON,"800 RAVIN HILL DRIVE
ATCHISON, KS
",TRUE,"Above the national average"
"SAINT JOSEPH HOSPITAL","Voluntary non-profit - Church","Acute Care Hospitals",KY,LEXINGTON,40504,2,FAYETTE,"ONE SAINT JOSEPH DRIVE
LEXINGTON, KY
",TRUE,"Below the national average"
"HARRISON MEMORIAL HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",KY,CYNTHIANA,41031,4,HARRISON,"1210 KY HWY 36 E
CYNTHIANA, KY
",TRUE,"Above the national average"
"BAPTIST HEALTH CORBIN","Voluntary non-profit - Private","Acute Care Hospitals",KY,CORBIN,40701,3,KNOX,"ONE TRILLIUM WAY
CORBIN, KY
",TRUE,"Same as the national average"
"MOREHOUSE GENERAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",LA,BASTROP,71220,2,MOREHOUSE,"323 W WALNUT
BASTROP, LA
",TRUE,"Same as the national average"
"MINDEN MEDICAL CENTER",Proprietary,"Acute Care Hospitals",LA,MINDEN,71055,4,WEBSTER,"NO 1 MEDICAL PLAZA
MINDEN, LA
",TRUE,"Above the national average"
"LASALLE GENERAL HOSPITAL","Government - Hospital District or Authority","Acute Care Hospitals",LA,JENA,71342,3,"LA SALLE","187 NINTH ST/HWY 84 WEST
JENA, LA
",TRUE,"Not Available"
"THE SPINE HOSPITAL OF LOUISIANA",Proprietary,"Acute Care Hospitals",LA,"BATON ROUGE",70810,"Not Available","EAST BATON ROUGE","10105 PARK ROW CIRCLE, SUITE 250
BATON ROUGE, LA
",FALSE,"Above the national average"
"EASTERN MAINE MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",ME,BANGOR,4401,2,PENOBSCOT,"PO BOX 404
BANGOR, ME
",TRUE,"Below the national average"
"RIVERLAND MEDICAL CENTER","Government - Hospital District or Authority","Critical Access Hospitals",LA,FERRIDAY,71334,"Not Available",CONCORDIA,"1700 WALLACE BLVD
FERRIDAY, LA
",TRUE,"Not Available"
"AROOSTOOK MEDICAL CENTER","Voluntary non-profit - Private","Acute Care Hospitals",ME,"PRESQUE ISLE",4769,3,AROOSTOOK,"PO BOX 151
PRESQUE ISLE, ME
",TRUE,"Same as the national average"
"CHARLES A DEAN MEMORIAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",ME,GREENVILLE,4441,"Not Available",PISCATAQUIS,"PO BOX 1129
GREENVILLE, ME
",FALSE,"Not Available"
"WALDO COUNTY GENERAL HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",ME,BELFAST,4915,3,WALDO,"PO BOX 287
BELFAST, ME
",TRUE,"Same as the national average"
"SAINT AGNES HOSPITAL","Voluntary non-profit - Church","Acute Care Hospitals",MD,BALTIMORE,21229,"Not Available","BALTIMORE CITY","900 CATON AVENUE
BALTIMORE, MD
",TRUE,"Not Available"
"LAWRENCE GENERAL HOSPITAL","Voluntary non-profit - Private","Acute Care Hospitals",MA,LAWRENCE,1842,2,ESSEX,"ONE GENERAL STREET
LAWRENCE, MA
",TRUE,"Below the national average"
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON","Voluntary non-profit - Private","Acute Care Hospitals",MA,BURLINGTON,1803,3,MIDDLESEX,"41 &amp; 45 MALL ROAD
BURLINGTON, MA
",TRUE,"Same as the national average"
"MARTHA'S VINEYARD HOSPITAL INC","Voluntary non-profit - Private","Critical Access Hospitals",MA,"OAK BLUFFS",2557,4,DUKES,"ONE HOSPITAL ROAD, FIRST FL, WING 5, PO BOX 1477
OAK BLUFFS, MA
",TRUE,"Above the national average"
"SPECTRUM HEALTH LUDINGTON HOSPITAL","Voluntary non-profit - Other","Acute Care Hospitals",MI,LUDINGTON,49431,4,MASON,"ONE N ATKINSON DRIVE
LUDINGTON, MI
",TRUE,"Same as the national average"
"HURLEY MEDICAL CENTER","Voluntary non-profit - Other","Acute Care Hospitals",MI,FLINT,48503,1,GENESEE,"ONE HURLEY PLAZA
FLINT, MI
",TRUE,"Below the national average"
"GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK","Voluntary non-profit - Church","Acute Care Hospitals",MI,"GRAND BLANC",48439,2,GENESEE,"ONE GENESYS PARKWAY
GRAND BLANC, MI
",TRUE,"Below the national average"
"BEAUMONT HOSPITAL, TROY","Voluntary non-profit - Private","Acute Care Hospitals",MI,TROY,48085,3,OAKLAND,"44201 DEQUINDRE ROAD
TROY, MI
",TRUE,"Same as the national average"
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER",Proprietary,"Acute Care Hospitals",MI,DETROIT,48201,1,WAYNE,"4201 ST ANTOINE ST - 3M
DETROIT, MI
",TRUE,"Below the national average"
"HURON VALLEY-SINAI HOSPITAL",Proprietary,"Acute Care Hospitals",MI,"COMMERCE TOWNSHIP",48382,3,OAKLAND,"ONE WILLIAM CARLS DRIVE
COMMERCE TOWNSHIP, MI
",TRUE,"Same as the national average"
"SCHOOLCRAFT MEMORIAL HOSPITAL","Government - Local","Critical Access Hospitals",MI,MANISTIQUE,49854,4,SCHOOLCRAFT,"7870W US HIGHWAY 2
MANISTIQUE, MI
",TRUE,"Above the national average"
"MUNSON HEALTHCARE CHARLEVOIX HOSPITAL","Voluntary non-profit - Other","Critical Access Hospitals",MI,CHARLEVOIX,49720,3,CHARLEVOIX,"14700 LAKESHORE DRIVE
CHARLEVOIX, MI
",TRUE,"Above the national average"
"SPECTRUM HEALTH REED CITY HOSPITAL","Voluntary non-profit - Private","Critical Access Hospitals",MI,"REED CITY",49677,4,OSCEOLA,"300 N PATTERSON, PO BOX 75
REED CITY, MI
",TRUE,"Same as the national average"
"RED LAKE HOSPITAL A","Government - Federal","Acute Care Hospitals",MN,REDLAKE,56671,"Not Available",BELTRAMI,"PO BOX 497
REDLAKE, MN
",TRUE,"Not Available"
"MAHNOMEN HEALTH CENTER","Government - Local","Critical Access Hospitals",MN,MAHNOMEN,56557,"Not Available",MAHNOMEN,"414 W JEFFERSON PO BOX 396
MAHNOMEN, MN
",TRUE,"Not Available"
"RENVILLE COUNTY HOSPITAL AND CLINICS","Government - Local","Critical Access Hospitals",MN,OLIVIA,56277,"Not Available",RENVILLE,"100 HEALTHY WAY
OLIVIA, MN
",TRUE,"Not Available"
"BAPTIST MEMORIAL HOSPITAL UNION COUNTY","Voluntary non-profit - Other","Acute Care Hospitals",MS,"NEW ALBANY",38652,4,UNION,"200 HWY 30 WEST
NEW ALBANY, MS
",TRUE,"Above the national average"
